VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,trip_duration,normalized_distance,weather,zone
1,2015-01-08 15:07:37,2015-01-08 15:46:00,4,14.9,-74.00909423828125,40.72649383544922,3,N,-74.17772674560547,40.69041442871094,2,61.5,0.0,0.0,0.0,9.75,0.0,71.25,2303.0,0.0001455412035141,Clear,Lower Manhattan
1,2015-01-30 05:53:07,2015-01-30 05:55:07,1,0.7,-73.89909362792967,40.74995803833008,1,N,-73.88970947265625,40.75331115722656,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,120.0,-0.0012963576947734,Clouds,Otra
1,2015-01-21 09:17:00,2015-01-21 09:20:31,1,0.6,-73.96045684814453,40.77015686035156,1,N,-73.95647430419923,40.77739715576172,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3,211.0,-0.001306511912367,Clear,Otra
1,2015-01-04 09:58:25,2015-01-04 10:02:13,1,0.7,-74.00384521484375,40.7270622253418,1,N,-74.00536346435547,40.73520278930664,2,5.0,0.0,0.5,0.0,0.0,0.0,5.8,228.0,-0.0012963576947734,Clear,Lower Manhattan
1,2015-01-05 19:38:26,2015-01-05 19:58:26,1,3.4,-73.99097442626953,40.75448226928711,1,N,-73.95274353027344,40.779815673828125,2,15.0,1.0,0.5,0.0,0.0,0.3,16.8,1200.0,-0.0010221938197469,Clear,Midtown Manhattan
2,2015-01-15 15:34:10,2015-01-15 15:51:32,3,2.71,-73.95792388916014,40.7694206237793,1,N,-73.98989868164062,40.757511138916016,1,13.5,0.0,0.5,1.5,0.0,0.3,15.8,1042.0,-0.0010922579211426,Clear,Otra
1,2015-01-04 16:01:47,2015-01-04 16:08:43,1,1.0,-73.98313140869139,40.7744598388672,1,N,-73.974853515625,40.76399993896485,1,6.5,0.0,0.5,1.4,0.0,0.0,8.7,416.0,-0.0012658950419927,Clear,Otra
2,2015-01-09 11:06:59,2015-01-09 11:09:13,1,0.32,-73.97698211669923,40.755741119384766,1,N,-73.97510528564453,40.75772857666016,1,3.5,0.0,0.5,1.05,0.0,0.3,5.35,134.0,-0.001334943721629,Clear,Otra
2,2015-01-24 09:57:13,2015-01-24 10:06:44,1,1.52,-73.99456024169923,40.75075149536133,1,N,-73.9796371459961,40.76454162597656,1,8.0,0.0,0.5,2.64,0.0,0.3,11.44,571.0,-0.0012130931105061,Clear,Midtown Manhattan
2,2015-01-23 11:39:19,2015-01-23 12:09:00,1,2.71,-73.97886657714845,40.783401489257805,1,N,-73.99144744873048,40.75029754638672,1,19.0,0.0,0.5,2.0,0.0,0.3,21.8,1781.0,-0.0010922579211426,Clear,Otra
1,2015-01-29 12:22:59,2015-01-29 12:39:49,1,1.2,-73.96001434326173,40.75832748413086,1,N,-73.94908142089844,40.77415466308594,2,11.0,0.0,0.5,0.0,0.0,0.3,11.8,1010.0,-0.0012455866068056,Clear,Otra
1,2015-01-03 02:20:01,2015-01-03 02:36:30,3,4.9,-73.98931121826173,40.72636413574219,1,N,-73.95170593261719,40.676246643066406,1,17.5,0.5,0.5,3.75,0.0,0.0,22.55,989.0,-0.0008698805558433,Clear,Lower Manhattan
1,2015-01-17 02:24:49,2015-01-17 02:46:53,1,7.7,-73.96183776855469,40.76033401489258,5,N,-74.03453063964844,40.727088928222656,4,0.0,0.0,0.0,0.0,9.75,0.3,10.05,1324.0,-0.0005855624632232,Clear,Otra
1,2015-01-03 23:53:49,2015-01-04 00:04:09,2,1.2,-73.99852752685547,40.716995239257805,1,N,-73.9900131225586,40.71897888183594,1,8.0,0.5,0.5,2.25,0.0,0.0,11.55,620.0,-0.0012455866068056,Clear,Lower Manhattan
1,2015-01-29 20:05:33,2015-01-29 20:17:35,1,2.4,-73.98208618164062,40.77853775024414,1,N,-73.95314025878906,40.76782989501953,1,10.5,0.5,0.5,1.0,0.0,0.3,12.8,722.0,-0.0011237359956827,Clear,Otra
1,2015-01-17 16:13:17,2015-01-17 16:22:38,1,1.6,-73.9898681640625,40.74337005615234,1,N,-73.9758529663086,40.75777053833008,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8,561.0,-0.0012049697364313,Clear,Midtown Manhattan
1,2015-01-05 08:34:14,2015-01-05 09:08:14,1,8.3,-73.99600219726561,40.686954498291016,1,N,-73.97107696533203,40.76228332519531,1,29.5,0.0,0.5,6.05,0.0,0.3,36.35,2040.0,-0.0005246371576618,Clear,Otra
1,2015-01-25 05:11:01,2015-01-25 05:14:00,1,1.2,-73.99094390869139,40.75071716308594,1,N,-73.99405670166014,40.73612976074219,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,179.0,-0.0012455866068056,Clear,Midtown Manhattan
2,2015-01-15 12:13:21,2015-01-15 12:23:51,5,1.2,-73.95462799072266,40.77351760864258,1,N,-73.9678955078125,40.76370620727539,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8,630.0,-0.0012455866068056,Clear,Otra
1,2015-01-15 20:53:56,2015-01-15 21:08:00,2,1.8,-73.97576904296875,40.76310348510742,1,N,-73.99955749511719,40.76129531860352,1,11.0,0.5,0.5,2.0,0.0,0.3,14.3,844.0,-0.0011846613012441,Clear,Otra
2,2015-01-02 23:23:57,2015-01-02 23:28:20,1,1.46,-73.97167205810547,40.76251602172852,1,N,-73.95867919921875,40.77908706665039,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,263.0,-0.0012191856410623,Clear,Otra
2,2015-01-25 21:08:01,2015-01-25 21:12:31,1,0.92,-73.99681091308595,40.75271987915039,1,N,-73.98622131347656,40.74760055541992,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,270.0,-0.0012740184160676,Clear,Midtown Manhattan
1,2015-01-10 02:33:42,2015-01-10 02:34:00,1,0.0,-74.00806427001953,40.72014617919922,5,N,-74.008056640625,40.72013092041016,1,10.3,0.0,0.0,1.0,0.0,0.3,11.6,18.0,-0.0013674372179285,Clear,Lower Manhattan
2,2015-01-24 00:57:33,2015-01-24 01:03:30,1,1.24,-73.98896789550781,40.74367904663086,1,N,-73.98794555664062,40.75515365600586,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,357.0,-0.0012415249197681,Clear,Midtown Manhattan
1,2015-01-23 09:16:39,2015-01-23 09:22:56,1,0.8,0.0,0.0,1,N,0.0,0.0,1,6.0,0.0,0.5,1.35,0.0,0.3,8.15,377.0,-0.0012862034771799,Clear,Otra
1,2015-01-14 10:49:04,2015-01-14 11:01:32,1,2.0,0.0,0.0,1,N,0.0,0.0,1,10.5,0.0,0.5,2.82,0.0,0.3,14.12,748.0,-0.001164352866057,Clear,Otra
2,2015-01-28 10:26:41,2015-01-28 10:35:32,1,1.0,-74.0020751953125,40.719593048095696,1,N,-73.99496459960938,40.727725982666016,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8,531.0,-0.0012658950419927,Clear,Lower Manhattan
1,2015-01-19 05:54:14,2015-01-19 05:57:59,1,1.2,0.0,0.0,1,N,0.0,0.0,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,225.0,-0.0012455866068056,Clear,Otra
1,2015-01-23 06:08:48,2015-01-23 06:14:30,1,1.6,-73.9906005859375,40.75633239746094,1,N,-73.96981811523438,40.762237548828125,1,7.0,0.0,0.5,1.95,0.0,0.3,9.75,342.0,-0.0012049697364313,Clear,Midtown Manhattan
2,2015-01-23 17:03:06,2015-01-23 17:14:09,1,1.98,-73.95179748535155,40.769508361816406,1,N,-73.97573852539062,40.776679992675774,2,10.0,1.0,0.5,0.0,0.0,0.3,11.8,663.0,-0.0011663837095757,Clear,Otra
2,2015-01-31 00:11:32,2015-01-31 00:14:56,1,0.54,-73.9925308227539,40.74365615844727,1,N,-73.98777770996092,40.74979019165039,1,4.5,0.5,0.5,1.16,0.0,0.3,6.96,204.0,-0.0013126044429231,Clear,Midtown Manhattan
2,2015-01-05 23:11:35,2015-01-05 23:32:17,1,5.8,-73.9704818725586,40.75594329833984,1,N,-73.90853118896483,40.74871826171875,2,20.0,0.5,0.5,0.0,0.0,0.3,21.3,1242.0,-0.0007784925975011,Clear,Otra
